Channel_Name,Channel_ID,Category
Justin Bieber,UCIwFjwMjI0y7PDBVEO9-bkQ,MUSIC
Marshmello,UCEdvpU2pFRCVqU6yIPyTpMQ,MUSIC
BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,MUSIC
Ed Sheeran,UC0C-w0YjGpqDXGB8IHb662A,MUSIC
EminemMusic,UCfM3zsQsOnfWNUppiycmBuw,MUSIC
Ariana Grande,UC9CoOnJkIBMdeijd9qYoT_g,MUSIC
Taylor Swift,UCqECaJ8Gagnn7YCbPEzWH6g,MUSIC
Alan Walker,UCJrOtniJ0-NWz37R30urifQ,MUSIC
Billie Eilis,UCiGm_E4ZwYSHV3bcW1pnSeQ,MUSIC
One Direction,UCb2HGwORFBo94DmRx4oLzow,MUSIC
TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,NONPROFIT & ACTIVISM
The Church Of Jesus Christ Of Latter-Day Saints,UCdNjexbIS_NKJC4ZRwKf9ag,NONPROFIT & ACTIVISM
Transformation Church,UCYv-siSKd3Gn9IsliO95gIw,NONPROFIT & ACTIVISM
planetshakerstv,UC3z9rRoiie3RXzhUxv1Bdqw,NONPROFIT & ACTIVISM
Global Citizen,UCg3_C7BwcV0kBlJbBFHTPJQ,NONPROFIT & ACTIVISM
Jace Norman,UCBP4B896svWOcWdRp8UjH2Q,NONPROFIT & ACTIVISM
MotivationGrid,UCB7BryuXaMe1pUMznYAq4Jg,NONPROFIT & ACTIVISM
Jeff & Alyssa,UCc4yillQaNo6a-iG2PYbbrA,NONPROFIT & ACTIVISM
Invisible People,UCh4pyZUB0mNzieaKv831flA,NONPROFIT & ACTIVISM
World Health Organization (WHO),UC07-dOwgza1IguKA86jqxNA,NONPROFIT & ACTIVISM
Jake Paul,UCcgVECVN4OKV6DH1jLkqmcA,PEOPLE & BLOGS
BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,PEOPLE & BLOGS
The Ace Family,UCWwWOFsW68TqXE-HZLC3WIA,PEOPLE & BLOGS
David Dobrik,UCmh5gdwCx6lN7gEC20leNVA,PEOPLE & BLOGS
Lady Gaga,UCNL1ZadSjHpjm4q9j2sVtOA,PEOPLE & BLOGS
Roman Atwood Vlogs,UC-SV8-bUJfXjrRMnp7F8Wzw,PEOPLE & BLOGS
Super Polina,UCE76CBkDX591pxzps6bySOw,PEOPLE & BLOGS
The LaBrant Fam,UC4-CH0epzZpD_ARhxCx6LaQ,PEOPLE & BLOGS
CaseyNeistat,UCtinbF-Q-fVthA0qrFQTgXQ,PEOPLE & BLOGS
Jason Vlogs,UCjmAh2qxmvWdH3xNPbg0IUQ,PEOPLE & BLOGS
CNN,UCupvZG-5ko_eiXAupbDfxWw,NEWS & POLITICS
ABC news,UCBi2mrWuNuyYy4gbM6fU18Q,NEWS & POLITICS
BBC news,UC16niRr50-MSBwiO3YDb3RA,NEWS & POLITICS
NBC News,UCeY0bbntWzzVIaj2z3QigXg,NEWS & POLITICS
Global News,UChLtXXpo4Ge1ReTEboVvTDg,NEWS & POLITICS
CBS News,UC8p1vwvWtl6T73JiExfWs1g,NEWS & POLITICS
NowThis News,UCn4sPeUomNGIr26bElVdDYg,NEWS & POLITICS
AP Archive ,UCHTK-2W11Vh1V4uwofOfR4w,NEWS & POLITICS
VOA News,UCVSNOxehfALut52NbkfRBaA,NEWS & POLITICS
TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,NEWS & POLITICS
